"pbe_name","pbe_edit","pbe_type","pbe_cntr","pbe_seqn","pbe_flag","pbe_work"
"###,###.00","###,###.00",90,1,1,32,"10                              "
"#####","#####",90,1,1,32,"10                              "
"###-##-####","###-##-####",90,1,1,32,"00                              "
"MM/DD/YY","MM/DD/YY",90,1,1,32,"20                              "
"DD/MM/YY","DD/MM/YY",90,1,1,32,"20                              "
"MM/DD/YYYY","MM/DD/YYYY",90,1,1,32,"20                              "
"DD/MM/YYYY","DD/MM/YYYY",90,1,1,32,"20                              "
"DD/MMM/YY","DD/MMM/YY",90,1,1,32,"20                              "
"DDD/YY","DDD/YY",90,1,1,32,"20                              "
"DDD/YYYY","DDD/YYYY",90,1,1,32,"20                              "
"HH:MM:SS","HH:MM:SS",90,1,1,32,"30                              "
"HH:MM:SS:FFF","HH:MM:SS:FFF",90,1,1,32,"30                              "
"HH:MM:SS:FFFFFF","HH:MM:SS:FFFFFF",90,1,1,32,"30                              "
"MM/DD/YY HH:MM:SS","MM/DD/YY HH:MM:SS",90,1,1,32,"40                              "
"DD/MM/YY HH:MM:SS","DD/MM/YY HH:MM:SS",90,1,1,32,"40                              "
"MM/DD/YYYY HH:MM:SS","MM/DD/YYYY HH:MM:SS",90,1,1,32,"40                              "
"DD/MM/YYYY HH:MM:SS","DD/MM/YYYY HH:MM:SS",90,1,1,32,"40                              "
"DD/MMM/YY HH:MM:SS","DD/MMM/YY HH:MM:SS",90,1,1,32,"40                              "
"DDD/YY HH:MM:SS","DDD/YY HH:MM:SS",90,1,1,32,"40                              "
"DDD/YYYY HH:MM:SS","DDD/YYYY HH:MM:SS",90,1,1,32,"40                              "
"DD/MM/YY HH:MM:SS:FFFFFF","DD/MM/YY HH:MM:SS:FFFFFF",90,1,1,32,"40                              "
