"report_order_id","company_id","report_id","report_order_code","report_order"
0,0,0,"",""
1,1,1,"1","NATURAL"
2,1,2,"1","NATURAL"
3,1,3,"1","NATURAL"
4,1,4,"1","NATURAL"
5,1,5,"1","ACCOUNT"
6,1,6,"1","ACCOUNT"
7,1,7,"1","ACCOUNT"
8,1,8,"1","DATE"
9,1,9,"1","ACCOUNT"
10,1,9,"2","DESCRIPTION"
11,1,9,"3","BALANCE"
12,1,10,"1","ACCOUNT"
13,1,10,"2","DESCRIPTION"
14,1,10,"3","BALANCE"
15,1,11,"1","ACCOUNT CODE"
16,1,11,"2","ACCOUNT"
17,1,12,"1","ACCOUNT CODE"
18,1,12,"2","ACCOUNT"
20,1,13,"1","NATURAL"
21,1,14,"1","JOURNAL ENTRY DATE"
22,1,14,"2","BANK STATEMENT DATE"
